Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2011,1,"41,310,633","40,874,121","82,184,754"
2011,2,"38,361,355","33,998,315","72,359,670"
2011,3,"49,086,084","41,675,907","90,761,991"
2011,4,"46,672,936","43,155,298","89,828,233"
2011,5,"49,113,879","46,549,345","95,663,224"
2011,6,"51,629,464","49,676,007","101,305,470"
2011,7,"54,510,543","54,217,514","108,728,057"
2011,8,"51,626,688","52,220,666","103,847,354"
2011,9,"44,627,162","45,925,265","90,552,427"
2011,10,"47,033,130","45,011,529","92,044,660"
2011,11,"44,867,338","39,388,235","84,255,573"
2011,12,"45,846,263","43,236,226","89,082,489"
2011,TOTAL,"564,685,475","535,928,427","1,100,613,902"
2012,1,"41,835,534","42,512,309","84,347,844"
2012,2,"40,535,739","36,391,992","76,927,730"
2012,3,"49,825,523","44,789,254","94,614,776"
2012,4,"47,379,882","44,855,708","92,235,590"
2012,5,"49,222,436","48,102,320","97,324,757"
2012,6,"52,109,328","52,196,041","104,305,370"
2012,7,"54,301,048","55,244,104","109,545,152"
2012,8,"52,906,366","54,675,747","107,582,113"
2012,9,"43,898,585","47,804,106","91,702,690"
2012,10,"46,728,054","45,389,387","92,117,441"
2012,11,"45,226,179","41,269,247","86,495,426"
2012,12,"45,962,175","44,815,891","90,778,066"
2012,TOTAL,"569,930,849","558,046,104","1,127,976,954"
2013,1,"42,823,414","44,232,012","87,055,425"
2013,2,"40,457,444","37,521,083","77,978,527"
2013,3,"50,712,955","47,104,158","97,817,113"
2013,4,"47,392,152","45,942,530","93,334,683"
2013,5,"50,187,092","51,263,279","101,450,371"
2013,6,"52,880,779","55,033,481","107,914,261"
2013,7,"54,798,319","57,995,952","112,794,271"
2013,8,"53,163,380","58,499,731","111,663,111"
2013,9,"44,695,497","50,231,606","94,927,103"
2013,10,"47,898,386","48,937,546","96,835,932"
2013,11,"44,457,875","43,144,707","87,602,581"
2013,12,"49,255,842","48,493,414","97,749,256"
2013,TOTAL,"578,723,135","588,399,499","1,167,122,634"
2014,1,"43,684,303","47,473,777","91,158,080"
2014,2,"40,605,269","39,209,361","79,814,630"
2014,3,"51,918,890","48,464,543","100,383,433"
2014,4,"49,293,680","49,844,561","99,138,241"
2014,5,"51,560,075","55,012,980","106,573,055"
2014,6,"54,022,306","58,385,754","112,408,060"
2014,7,"56,914,562","61,509,100","118,423,662"
2014,8,"54,679,741","62,848,057","117,527,798"
2014,9,"46,375,580","52,747,215","99,122,795"
2014,10,"50,158,363","51,571,929","101,730,292"
2014,11,"46,389,945","45,044,040","91,433,985"
2014,12,"50,367,542","50,884,870","101,252,413"
2014,TOTAL,"595,970,257","622,996,187","1,218,966,443"
2015,1,"45,180,258","50,208,955","95,389,213"
2015,2,"42,271,512","41,969,232","84,240,744"
2015,3,"53,958,373","51,603,788","105,562,162"
2015,4,"51,913,047","51,769,390","103,682,437"
2015,5,"54,289,541","58,064,578","112,354,119"
2015,6,"57,031,104","61,398,465","118,429,570"
2015,7,"60,474,844","66,959,985","127,434,829"
2015,8,"57,860,043","67,260,598","125,120,641"
2015,9,"49,895,839","57,005,668","106,901,507"
2015,10,"54,113,570","56,152,692","110,266,262"
2015,11,"50,948,208","49,024,483","99,972,691"
2015,12,"53,164,106","54,796,532","107,960,638"
2015,TOTAL,"631,100,445","666,214,367","1,297,314,812"
2016,1,"48,125,350","54,389,595","102,514,945"
2016,2,"46,501,259","45,998,614","92,499,874"
2016,3,"56,739,395","55,186,857","111,926,252"
2016,4,"53,659,609","55,017,666","108,677,275"
2016,5,"57,169,467","61,282,733","118,452,200"
2016,6,"60,317,446","66,024,932","126,342,379"
2016,7,"62,392,940","71,625,246","134,018,186"
2016,8,"59,322,543","70,500,238","129,822,781"
2016,9,"52,701,233","60,885,116","113,586,348"
2016,10,"55,358,373","58,993,757","114,352,130"
2016,11,"53,314,925","52,546,070","105,860,995"
2016,12,"54,870,496","59,373,092","114,243,588"
2016,TOTAL,"660,473,037","711,823,916","1,372,296,953"
2017,1,"50,177,422","58,317,704","108,495,126"
2017,2,"46,513,775","47,423,843","93,937,618"
2017,3,"58,829,158","57,136,062","115,965,220"
2017,4,"56,339,489","61,391,643","117,731,132"
2017,5,"59,057,230","64,592,169","123,649,399"
2017,6,"62,510,827","70,212,848","132,723,675"
2017,7,"65,079,617","76,094,846","141,174,463"
2017,8,"62,564,374","75,223,452","137,787,826"
2017,9,"51,911,973","63,049,864","114,961,837"
2017,10,"58,297,066","62,010,367","120,307,433"
2017,11,"55,920,957","54,981,499","110,902,455"
2017,12,"57,019,535","60,775,338","117,794,873"
2017,TOTAL,"684,221,421","751,209,637","1,435,431,058"
